асоциальный          социальный           0.146
искушающий           вкусный              0.000
искушающий           вкусовой             0.000
искушающий           вкушаемый            0.000
искушающий           вкушающий            0.000
искушающий           искусный             0.000
искушающий           искусственный        0.000
искушающий           искушенный           0.000
искушающий           кусающий             0.000
искушающий           кусковой             0.000
искушающий           неискушенный         0.000
искушающий           покусавший           0.000
искушающий           укушенный            0.000
искушенный           вкусивший            0.000
искушенный           вкусный              0.000
искушенный           вкусовой             0.000
искушенный           вкушаемый            0.000
искушенный           вкушающий            0.000
искушенный           искусный             0.000
искушенный           искусственный        0.000
искушенный           искушающий           0.000
искушенный           кусающий             0.000
искушенный           кусковой             0.000
искушенный           неискушенный         0.327
искушенный           покусавший           0.000
искушенный           укушенный            0.000
кусающий             вкусивший            0.000
кусающий             вкусный              0.000
кусающий             вкусовой             0.000
кусающий             вкушаемый            0.000
кусающий             вкушающий            0.000
кусающий             искусный             0.000
кусающий             искусственный        0.000
кусающий             искушающий           0.000
кусающий             искушенный           0.000
кусающий             кусковой             0.000
кусающий             покусавший           0.000
кусающий             укушенный            0.000
кусающийся           покусившийся         0.000
кусковой             вкусивший            0.000
кусковой             вкусный              0.000
кусковой             вкусовой             0.000
кусковой             вкушаемый            0.000
кусковой             вкушающий            0.000
кусковой             искусный             0.000
кусковой             искусственный        0.037
кусковой             искушающий           0.000
кусковой             искушенный           0.000
кусковой             кусающий             0.000
кусковой             покусавший           0.000
кусковой             укушенный            0.000
невкусный            безвкусный           0.246
невкусный            вкусивший            0.000
невкусный            вкусный              0.409
невкусный            вкусовой             0.000
невкусный            вкушаемый            0.000
невкусный            вкушающий            0.000
невкусный            неискушенный         0.000
неискушенный         искусный             0.043
неискушенный         искусственный        0.000
неискушенный         искушающий           0.000
неискушенный         искушенный           0.327
неискушенный         невкусный            0.000
покусавший           вкусивший            0.000
покусавший           вкусный              0.000
покусавший           вкусовой             0.000
покусавший           вкушаемый            0.000
покусавший           вкушающий            0.000
покусавший           искусный             0.000
покусавший           искусственный        0.000
покусавший           искушающий           0.000
покусавший           искушенный           0.000
покусавший           кусающий             0.000
покусавший           кусковой             0.000
покусавший           укушенный            0.000
покусившийся         кусающийся           0.000
укушенный            вкусивший            0.000
укушенный            вкусный              0.000
укушенный            вкусовой             0.000
укушенный            вкушаемый            0.000
укушенный            вкушающий            0.000
укушенный            искусный             0.000
укушенный            искусственный        0.000
укушенный            искушающий           0.000
укушенный            искушенный           0.000
укушенный            кусающий             0.000
укушенный            кусковой             0.000
укушенный            покусавший           0.000
вкусивший            вкусный              0.000
вкусивший            вкусовой             0.000
вкусный              вкусивший            0.000
вкусный              вкусовой             0.000
вкусовой             вкусивший            0.000
вкусовой             вкусный              0.000
годный               негодный             0.067
негодный             годный               0.067
нежданный            неожиданный          0.141
нежданный            ожидавший            0.095
нежданный            ожидаемый            0.044
неожиданный          нежданный            0.141
неожиданный          ожидавший            0.045
неожиданный          ожидаемый            0.103
ожидавший            нежданный            0.095
ожидавший            неожиданный          0.045
ожидавший            ожидаемый            0.000
ожидаемый            нежданный            0.044
ожидаемый            неожиданный          0.103
ожидаемый            ожидавший            0.000
